,Retail_Product_Color,Retail_Product_Level1,Retail_Product_Level1Name,Retail_Product_Level2Name,Retail_Product_Level3Name,Retail_Product_Level4Name,Retail_Product_Name,Retail_Product_SKU,Retail_Product_Size,Retail_Product_Style,Retail_SOHQTY,Retail_CCQTY,_merge,diff,unders
3372,,,,,,,,9292440006.0,,,0,1,right_only,1,0
3373,,,,,,,,9294780000.0,,,0,4,right_only,4,0
3374,,,,,,,,9296290001.0,,,0,2,right_only,2,0
3375,,,,,,,,9296290004.0,,,0,1,right_only,1,0
3376,,,,,,,,9299600001.0,,,0,1,right_only,1,0
3377,,,,,,,,9299600003.0,,,0,1,right_only,1,0
3378,,,,,,,,9299600004.0,,,0,2,right_only,2,0
3379,,,,,,,,9299600005.0,,,0,1,right_only,1,0
3380,,,,,,,,9299730001.0,,,0,1,right_only,1,0
3381,,,,,,,,9299730002.0,,,0,1,right_only,1,0
3382,,,,,,,,9299730003.0,,,0,1,right_only,1,0
3383,,,,,,,,9299730004.0,,,0,2,right_only,2,0
3384,,,,,,,,9299730005.0,,,0,1,right_only,1,0
3385,,,,,,,,9299860003.0,,,0,1,right_only,1,0
3386,,,,,,,,9299860004.0,,,0,1,right_only,1,0
3387,,,,,,,,9299860005.0,,,0,4,right_only,4,0
3388,,,,,,,,9299960006.0,,,0,1,right_only,1,0
3389,,,,,,,,9299970001.0,,,0,3,right_only,3,0
3390,,,,,,,,9299970002.0,,,0,2,right_only,2,0
3391,,,,,,,,9299970003.0,,,0,5,right_only,5,0
3392,,,,,,,,9299970004.0,,,0,3,right_only,3,0
3393,,,,,,,,9300040004.0,,,0,1,right_only,1,0
3394,,,,,,,,9300060004.0,,,0,1,right_only,1,0
3395,,,,,,,,9300060005.0,,,0,2,right_only,2,0
3396,,,,,,,,9300120001.0,,,0,2,right_only,2,0
3397,,,,,,,,9300510002.0,,,0,2,right_only,2,0
3398,,,,,,,,9300510003.0,,,0,1,right_only,1,0
3399,,,,,,,,9300510004.0,,,0,1,right_only,1,0
3400,,,,,,,,9300510005.0,,,0,1,right_only,1,0
3401,,,,,,,,9300720001.0,,,0,1,right_only,1,0
3402,,,,,,,,9300720003.0,,,0,1,right_only,1,0
3403,,,,,,,,9300720004.0,,,0,2,right_only,2,0
3404,,,,,,,,9300720005.0,,,0,3,right_only,3,0
3405,,,,,,,,9300760004.0,,,0,1,right_only,1,0
3406,,,,,,,,9301050005.0,,,0,1,right_only,1,0
3407,,,,,,,,9301060003.0,,,0,1,right_only,1,0
3408,,,,,,,,9301070006.0,,,0,1,right_only,1,0
3409,,,,,,,,9301120006.0,,,0,3,right_only,3,0
3410,,,,,,,,9301120007.0,,,0,3,right_only,3,0
3411,,,,,,,,9301120008.0,,,0,4,right_only,4,0
3412,,,,,,,,9301120009.0,,,0,4,right_only,4,0
3413,,,,,,,,9301120010.0,,,0,2,right_only,2,0
3414,,,,,,,,9301290002.0,,,0,1,right_only,1,0
3415,,,,,,,,9301290003.0,,,0,1,right_only,1,0
3416,,,,,,,,9301290004.0,,,0,2,right_only,2,0
3417,,,,,,,,9301410001.0,,,0,1,right_only,1,0
3418,,,,,,,,9301410002.0,,,0,3,right_only,3,0
3419,,,,,,,,9301410003.0,,,0,2,right_only,2,0
3420,,,,,,,,9301410004.0,,,0,4,right_only,4,0
3421,,,,,,,,9301410005.0,,,0,3,right_only,3,0
3422,,,,,,,,9301580008.0,,,0,1,right_only,1,0
3423,,,,,,,,9301580009.0,,,0,1,right_only,1,0
3424,,,,,,,,9303760016.0,,,0,1,right_only,1,0
3425,,,,,,,,9303760017.0,,,0,2,right_only,2,0
3426,,,,,,,,9303760019.0,,,0,2,right_only,2,0
