,Retail_Product_Color,Retail_Product_Level1,Retail_Product_Level1Name,Retail_Product_Level2Name,Retail_Product_Level3Name,Retail_Product_Level4Name,Retail_Product_Name,Retail_Product_SKU,Retail_Product_Size,Retail_Product_Style,Retail_SOHQTY,Retail_CCQTY,_merge,diff,unders
2182,VINHO,C,VESTUARIO,CJ,CJA,CJAT,SOUTIEN CJ MSA ELLA BICOLOR VINHO 42 VIN,9687070006.0,42,SOUTIEN / TOP,1,1,both,0,0
2183,VERDE,C,VESTUARIO,CY,CYA,CYAE,SHORT JEANS CRN PRD INK COM FAIXA LISO 0,9480720006.0,46,BOTTOM CURTO SARJA,1,1,both,0,0
2184,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CRN PRD MARCA DE TERCEIROS S,9456920001.0,40,CALÇA JEANS,1,0,left_only,-1,1
2185,JEANS,C,VESTUARIO,CY,CYA,CYAH,BERMUDA JEANS CF MSA INK MOM MEIA COXA L,9592970002.0,36,SAIA,2,1,both,-1,1
2186,AZUL,C,VESTUARIO,C7,C7A,C7AC,CAMISOLA FRAUDADA HAPPY AZUL JIN C7 50 A,9623100002.0,50,CAMISOLA / ROBE,3,3,both,0,0
2187,PRETO,C,VESTUARIO,CM,CMB,CMBB,BERMUDA SARJA CRN MSA INK CHINO  LISO IN,9498300004.0,42,BERMUDA SARJA,3,0,left_only,-3,3
2188,JEANS,C,VESTUARIO,CY,CYA,CYAD,SHORT JEANS CRN PRD INK ELASTICO E AMARR,9480260007.0,34,BOTTOM CURTO JEANS,1,1,both,0,0
2189,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA CM MSA INK LAVAGEM COM USED BIGODE,9440990002.0,38,CALÇA JEANS,1,0,left_only,-1,1
2190,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CRN PRD INK USED TANK RASGOS,9479710001.0,36,CALÇA JEANS,1,0,left_only,-1,1
2191,PRETO,C,VESTUARIO,CY,CYC,CYCC,SHORT JEANS PS PRD INK CLOCHARD COM AMAR,9481170005.0,56,BOTTOM CURTO SARJA PLUS,2,0,left_only,-2,2
2192,ROSA,C,VESTUARIO,CR,CRA,CRAB,BIQUINI CR SLO ELLA LISO ROSA P ROSA CLA,9671700004.0,P,CALCINHA / BOTTOM,1,1,both,0,0
2193,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA  CF PRD INK USED TANK MARMORIZADO,9480870004.0,42,CALÇA JEANS,3,3,both,0,0
2194,JEANS,C,VESTUARIO,CY,CYC,CYCB,CALCA JEANS PS PRD INK USED TANK RASGOS,9481110001.0,54,CALÇA JEANS PLUS,1,1,both,0,0
2195,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA APP CS SLO SKINNY INK BLUE ESCURO,8769130003.0,40,CALÇA JEANS,1,0,left_only,-1,1
2196,JEANS,C,VESTUARIO,CM,CMA,CMAA,CALCA JEANS CRN MSA INK Stone  Used Bigo,9456310003.0,42,CALÇA JEANS,2,0,left_only,-2,2
2197,VERDE,C,VESTUARIO,CM,CMB,CMBA,CALCA CM EVT JNS MSA INK JOGGER CAMUFLAD,9440550006.0,44,CALÇA SARJA,1,0,left_only,-1,1
2198,DOURADO,C,VESTUARIO,C5,C5E,C5EA,CJT DOURADO BRINCO E GARGANTILHA DREAM C,9427780001.0,SEM TAMANHO,CONJUNTO,2,0,left_only,-2,2
